web-scraper-order;web-scraper-start-url;Name;Name-href;CPU;GPU;Display;Storage;RAM;Weight;Price
1641869622-1363;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G14 GA401;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-ga401-567/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Lapto,  80W);Display: 14.0,  WQHD (2560 x 1440),  120 H,  IPS + FreeSync;Storage: 2000GB SSD;RAM: 24GB;Weight: 1.60 kg (3.5 lbs);$2239.00 #CommissionsEarned
1641869797-1414;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-118/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2219.00 #CommissionsEarned
1641868993-1176;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-5/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS;Storage: 1000GB SSD;RAM: 16GB DDR4;Weight: 2.30 kg (5.1 lbs);$2329.00 #CommissionsEarned
1641867668-776;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-229/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 16GB DDR4;Weight: 2.30 kg (5.1 lbs);$2549.00 #CommissionsEarned
1641872052-2087;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-479/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Laptop, 95W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 512GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$1839.00 #CommissionsEarned
1641871774-2006;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-294/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Laptop, 95W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 512GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$1879.00 #CommissionsEarned
1641871274-1854;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-505/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Laptop, 95W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 512GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$1989.00 #CommissionsEarned
1641870929-1753;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-301/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Laptop, 95W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 512GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2049.00 #CommissionsEarned
1641867210-637;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-20/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 16GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2599.00 #CommissionsEarned
1641866758-500;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-103/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 32GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2679.00 #CommissionsEarned
