Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1256.0
Acer,AMD,Ryzen_5,16,17.3,1920 x 1080,IPS,0,NVIDIA,512,0,2.7,2037.07
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1699.99
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,2000,1000,2.3,1759.99
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.9,643.94
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,649.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,1000,0,1.2,749.0
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,2000,0,1.2,899.0
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,1198.0
Acer,AMD,Ryzen_7,16,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,1599.98
Acer,AMD,Ryzen_7,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.4,1099.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,256,0,1.2,699.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,836.3
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,1000,0,1.2,739.99
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,999.99
Acer,AMD,Ryzen_7,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1322.99
Acer,AMD,Ryzen_7,16,15.6,2560 x 1440,IPS,0,NVIDIA,1000,0,2.3,1899.0
Acer,AMD,Ryzen_7,16,17.3,1920 x 1080,IPS,0,NVIDIA,1000,0,2.7,1479.99
Acer,AMD,Ryzen_7,16,17.3,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.7,1839.0
Acer,AMD,Ryzen_7,16,17.3,1920 x 1080,IPS,0,NVIDIA,1000,0,2.7,2195.66
Acer,AMD,Ryzen_7,16,17.3,2560 x 1440,IPS,0,NVIDIA,1000,0,2.7,2599.98
Acer,AMD,Ryzen_7,32,17.3,1920 x 1080,IPS,0,NVIDIA,1000,0,2.7,1699.99
Acer,AMD,Ryzen_7,64,17.3,1920 x 1080,IPS,0,NVIDIA,1000,2000,2.7,2039.0
Acer,AMD,Ryzen_7,64,17.3,1920 x 1080,IPS,0,NVIDIA,2000,0,2.7,2099.0
Acer,AMD,Ryzen_7,16,14.0,1920 x 1080,IPS,0,NVIDIA,512,0,1.39,1015.0
Acer,AMD,Ryzen_7,16,14.0,1920 x 1080,IPS,0,NVIDIA,1000,0,1.39,1149.99
Acer,AMD,Ryzen_7,16,14.0,1920 x 1080,IPS,0,NVIDIA,2000,0,1.39,1279.99
Acer,AMD,Ryzen_9,32,15.6,2560 x 1440,IPS,0,NVIDIA,1000,0,2.3,2399.98
Acer,Intel,Celeron,16,15.6,1920 x 1080,TN,0,Intel,1000,0,1.65,639.0
Acer,Intel,Celeron,32,15.6,1920 x 1080,TN,0,Intel,1000,0,1.65,749.0
Acer,Intel,Celeron,32,15.6,1920 x 1080,TN,0,Intel,2000,0,1.65,919.0
Acer,Intel,Core_i3,8,15.6,1920 x 1080,IPS,0,Intel,512,0,1.8,659.99
Acer,Intel,Core_i3,16,15.6,1920 x 1080,IPS,0,Intel,256,0,1.8,659.99
Acer,Intel,Core_i3,16,15.6,1920 x 1080,IPS,0,Intel,1000,0,1.8,809.99
Acer,Intel,Core_i3,20,15.6,1920 x 1080,TN,0,Intel,1000,0,1.8,639.99
Acer,Intel,Core_i3,36,15.6,1920 x 1080,TN,0,Intel,1000,0,1.8,699.99
Acer,Intel,Core_i3,8,13.5,2256 x 1504,IPS,1,Intel,256,0,1.37,685.99
Acer,Intel,Core_i3,8,13.5,2256 x 1504,IPS,1,Intel,2000,0,1.37,969.0
Acer,Intel,Core_i3,4,15.6,1920 x 1080,IPS,0,Intel,128,0,1.65,607.1
Acer,Intel,Core_i3,8,15.6,1920 x 1080,IPS,0,Intel,256,0,1.65,609.99
Acer,Intel,Core_i3,12,15.6,1920 x 1080,IPS,0,Intel,256,0,1.65,659.99
Acer,Intel,Core_i3,20,15.6,1920 x 1080,IPS,0,Intel,512,1000,1.65,629.99
Acer,Intel,Core_i3,20,15.6,1920 x 1080,IPS,0,Intel,1000,1000,1.65,648.95
Acer,Intel,Core_i3,20,15.6,1920 x 1080,IPS,0,Intel,512,0,1.65,769.99
Acer,Intel,Core_i3,36,15.6,1920 x 1080,IPS,0,Intel,1000,0,1.65,679.99
Acer,Intel,Core_i3,8,15.6,1920 x 1080,IPS,0,Intel,256,0,2.2,999.11
Acer,Intel,Core_i3,8,15.6,1920 x 1080,TN,0,Intel,0,1000,2.2,628.98
Acer,Intel,Core_i3,4,15.6,1920 x 1080,IPS,0,Intel,128,0,1.8,889.99
Acer,Intel,Core_i3,8,13.3,1920 x 1080,IPS,1,Intel,128,0,1.5,829.91
Acer,Intel,Core_i3,8,14.0,1920 x 1080,IPS,0,Intel,64,0,1.5,724.94
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,128,0,1.37,609.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,256,0,1.37,699.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,512,0,1.37,698.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,1000,0,1.37,799.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,2000,0,1.37,999.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,4000,0,1.37,1549.0
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,256,0,1.1,758.43
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,256,0,2.12,1043.79
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,256,0,1.9,799.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,799.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,919.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,899.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,969.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,979.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1019.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,1199.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,1229.99
